Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	ACH-000082	ACH-001001	ACH-001275	ACH-000364	ACH-002067	ACH-002834	ACH-002471	ACH-001526	ACH-001715	ACH-002690	ACH-002470	ACH-000359	ACH-002069	ACH-001814	ACH-000410	ACH-000748	
Deletion Peak 9	22p11.2 	chr22:11973002-12189999(probes 278893:278920)  	chr22:11976001-12185000(probes 278894:278919)  	chr22:11976001-12306200(probes 278894:278931)  	0.00045227	 0.00045227		0: t>-0.23; 1: -0.23>t> -1.3; 2: t< -1.3	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	
Amplification Peak  1 - CN values	1p36.13 	chr1:16539626-16724846(probes 1665:1689)        	chr1:16540625-16715624(probes 1666:1688)        	chr1:16540625-16743290(probes 1666:1691)        	0.021899	   0.034116		Actual Copy Change Given	1.4673	1.9384	2.0757	-0.078308	1.995	-0.1172	3.6569	2.9854	1.243	0.080977	0.1348	-0.084277	1.9264	0.099179	3.6569	0	
Amplification Peak  2 - CN values	1p36.13 	chr1:16863626-16948623(probes 1703:1713)        	chr1:16867625-16945624(probes 1704:1712)        	chr1:16867625-16962597(probes 1704:1719)        	2.1585e-06	 3.2037e-06		Actual Copy Change Given	1.3597	1.8374	3.6569	3.6569	1.995	3.6569	3.6569	3.6569	-0.15232	0.080977	0.1348	-0.084277	3.6569	0.099179	3.6569	0	
Amplification Peak  3 - CN values	1q12    	chr1:125166475-143284213(probes 12852:14671)  	chr1:125178475-143223474(probes 12857:14662)  	chr1:121738655-143303691(probes 12498:14673)  	1.2312e-10	 4.6904e-10		Actual Copy Change Given	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	0.82178	1.1811	0.64877	3.6569	-0.080067	3.6569	0.04777	
Amplification Peak  4 - CN values	1q21.1  	chr1:144411476-145268474(probes 14763:14851)  	chr1:144419475-145247474(probes 14764:14846)  	chr1:144106475-147513473(probes 14759:15086)  	0.0013359	   0.010469		Actual Copy Change Given	0.84776	2.0436	-0.17389	0.35855	2.3169	1.2216	3.3517	3.6569	0.88315	0.82178	1.1811	0.5997	3.6569	1.2237	3.6569	0.04777	
Amplification Peak  5 - CN values	1q44    	chr1:248576465-248653963(probes 25479:25492)  	chr1:248577464-248648463(probes 25480:25491)  	chr1:248577464-248670325(probes 25480:25497)  	4.3441e-07	 4.3441e-07		Actual Copy Change Given	1.3289	3.6569	3.6569	3.6569	2.1584	3.6569	-1.2929	-1.2929	3.6569	-0.64524	3.6569	0.60814	3.6569	-0.42144	2.2165	-1.2929	
Amplification Peak  6 - CN values	2p11.2  	chr2:89780556-89847054(probes 34695:34703)      	chr2:89781555-89841554(probes 34696:34702)      	chr2:89772555-94580265(probes 34688:35110)      	2.8514e-10	 2.1527e-06		Actual Copy Change Given	3.6569	3.6569	3.6569	3.6569	3.6569	2.3265	3.6569	3.6569	3.6569	0.69878	0.83019	0.21429	0.5294	0.043138	3.6569	0.037569	
Amplification Peak  7 - CN values	2p11.2  	chr2:90394222-91426553(probes 34765:34769)      	chr2:90402555-91421554(probes 34766:34768)      	chr2:89772555-94580265(probes 34688:35110)      	4.0172e-08	   0.015309		Actual Copy Change Given	3.6569	1.1005	3.6569	2.6876	1.1053	3.6569	1.4154	3.6569	3.6569	0.69878	0.52963	0.21429	3.6569	0.043138	3.6569	0.037569	
Amplification Peak  8 - CN values	2q11.1  	chr2:94506809-94569306(probes 35096:35106)      	chr2:94512308-94568307(probes 35097:35105)      	chr2:89772555-94580265(probes 34688:35110)      	3.0135e-11	 5.5779e-10		Actual Copy Change Given	3.5678	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	0.69878	0.76783	0.21429	3.6569	0.043138	3.6569	0.037569	
Amplification Peak  9 - CN values	3p11.1  	chr3:90525864-91258257(probes 59175:59204)      	chr3:90579363-91248372(probes 59184:59203)      	chr3:90258363-91278026(probes 59140:59206)      	3.0552e-11	 4.8685e-10		Actual Copy Change Given	3.6569	3.6569	3.6569	3.6569	1.8124	3.6569	3.6569	3.6569	3.6569	-0.59353	-0.26564	-0.53261	3.6569	-0.013417	3.6569	-0.45768	
Amplification Peak 10 - CN values	3q11.1  	chr3:91541374-93719323(probes 59243:59246)      	chr3:91543373-93718324(probes 59244:59245)      	chr3:91505373-93749977(probes 59231:59252)      	5.576e-09	 1.6253e-06		Actual Copy Change Given	3.6569	3.6569	1.7024	3.6569	-0.35382	3.6569	2.0376	3.6569	3.4626	-0.44831	-0.26564	0.72675	3.6569	0.97555	2.0672	-0.45768	
Amplification Peak 11 - CN values	4p16.1  	chr4:8974370-9486367(probes 70840:70904)          	chr4:8975369-9103368(probes 70841:70854)          	chr4:8974369-9489367(probes 70839:70906)          	0.030146	   0.030146		Actual Copy Change Given	3.0749	1.6857	1.8247	0.37942	0.38964	1.9724	0.91556	1.9378	2.0904	-0.50044	-0.72603	-0.64123	1.0967	-0.56713	3.2048	-0.044158	
Amplification Peak 12 - CN values	4p11    	chr4:49081024-49157022(probes 74941:74953)      	chr4:49091024-49155023(probes 74942:74952)      	chr4:49091024-54451428(probes 74942:75532)      	1.5842e-11	 8.1108e-09		Actual Copy Change Given	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	0.11531	2.1927	-0.083671	3.6569	-0.56914	3.6569	-0.38508	
Amplification Peak 13 - CN values	4p11    	chr4:49656025-49718988(probes 75042:75045)      	chr4:49657024-49709023(probes 75043:75044)      	chr4:49091024-54451428(probes 74942:75532)      	7.1558e-12	 1.8382e-09		Actual Copy Change Given	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	0.25944	3.1112	3.6569	0.11531	0.52485	3.6569	3.6569	2.9129	3.6569	-0.38508	
Amplification Peak 14 - CN values	5p12    	chr5:46041553-46089550(probes 93919:93928)      	chr5:46044552-46087551(probes 93920:93927)      	chr5:45837552-50174557(probes 93894:94311)      	1.6984e-08	   0.051421		Actual Copy Change Given	2.5019	2.5314	1.4663	2.7348	1.9692	3.6569	3.6569	3.6569	1.8077	0.83777	-0.053662	1.3556	3.6569	0.34357	3.1084	0.91882	
Amplification Peak 15 - CN values	5p11    	chr5:46252952-46321351(probes 93953:93960)      	chr5:46261552-46311551(probes 93954:93959)      	chr5:45837552-50174557(probes 93894:94311)      	8.6556e-12	 1.4643e-09		Actual Copy Change Given	3.6569	3.6569	3.6569	3.6569	3.4328	3.6569	3.6569	3.6569	3.6569	0.83777	-0.053662	1.3556	3.6569	0.34357	3.6569	0.91882	
Amplification Peak 16 - CN values	6p21.1  	chr6:44554385-44637327(probes 112090:112100)    	chr6:44563051-44628827(probes 112091:112099)    	chr6:44563051-44654327(probes 112091:112102)    	0.19679	    0.19679		Actual Copy Change Given	-0.15426	0.22643	0.010031	-0.072406	1.7276	3.6569	2.292	0.13552	0.60409	0.79868	1.0372	3.6569	3.4425	0.52109	0.54539	0.036025	
Amplification Peak 17 - CN values	6q11.1  	chr6:61383686-61495683(probes 113684:113693)    	chr6:61392685-61492684(probes 113685:113692)    	chr6:61392685-61615691(probes 113685:113705)    	7.2242e-05	 7.2242e-05		Actual Copy Change Given	2.7449	2.661	3.3097	3.6569	0.16912	3.6569	2.6077	1.6333	2.8928	0.17858	-0.60233	-0.57291	0.25233	0.52109	3.6569	0.036025	
Amplification Peak 18 - CN values	7p11.1  	chr7:57905431-60940983(probes 130833:131145)    	chr7:57913430-60939984(probes 130836:131144)    	chr7:57906430-60950859(probes 130834:131149)    	4.1768e-09	 5.3393e-07		Actual Copy Change Given	1.0951	3.6569	3.6569	3.6569	3.6569	3.3968	3.6569	3.6569	0.3977	-0.54738	0.61963	0.61019	3.6569	0.67204	3.6411	-0.023375	
Amplification Peak 19 - CN values	7q11.1  	chr7:61012986-61084848(probes 131159:131167)    	chr7:61017985-61074984(probes 131160:131166)    	chr7:61012985-61923770(probes 131158:131217)    	0.00022272	   0.089062		Actual Copy Change Given	-0.22564	3.6569	2.1691	3.6569	3.6569	3.6569	0.98218	1.6396	0.3977	-0.54738	0.61963	0.61019	3.6569	0.67204	0.75502	-0.023375	
Amplification Peak 20 - CN values	7q11.21 	chr7:62438772-62524770(probes 131269:131275)    	chr7:62439771-62516770(probes 131270:131274)    	chr7:62277771-62993769(probes 131241:131356)    	5.3184e-11	 1.3607e-09		Actual Copy Change Given	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.2348	-1.0238	0.68236	0.61019	3.6569	0.67204	3.6569	-0.023375	
Amplification Peak 21 - CN values	7q11.21 	chr7:63503772-63581769(probes 131410:131419)    	chr7:63504771-63578770(probes 131411:131418)    	chr7:63504771-63857843(probes 131411:131431)    	1.2948e-05	 7.0616e-05		Actual Copy Change Given	0.33644	3.6569	3.6569	-0.046923	1.65	3.3568	3.6569	3.6569	-0.12199	-0.67774	0.68236	-0.63221	3.6569	0.67204	3.5985	-0.023375	
Amplification Peak 22 - CN values	8p23.1  	chr8:12324314-12538311(probes 142242:142263)    	chr8:12328313-12537312(probes 142243:142262)    	chr8:12323313-12565740(probes 142239:142267)    	0.021899	   0.021899		Actual Copy Change Given	3.6569	-0.25319	1.0325	-0.12984	-0.37442	2.0318	0.53133	2.5396	2.5018	-0.55446	0.33939	0.69128	3.6569	-0.19038	0.24619	1.1934	
Amplification Peak 23 - CN values	8p11.1  	chr8:43752060-43915891(probes 145488:145514)    	chr8:43758059-43906058(probes 145489:145513)    	chr8:43746059-46001469(probes 145486:145533)    	4.6691e-09	 4.6691e-09		Actual Copy Change Given	3.6569	3.6569	3.6569	3.3361	2.4713	3.6569	2.3069	3.6569	3.6569	-0.5156	0.3844	0.69128	3.6569	-0.19038	3.6569	0.032174	
Amplification Peak 24 - CN values	8q21.2  	chr8:85652021-85838671(probes 149692:149703)    	chr8:85661935-85828934(probes 149693:149702)    	chr8:85661935-85858144(probes 149693:149705)    	1.2323e-05	 2.0917e-05		Actual Copy Change Given	3.6569	3.6569	3.6569	0.74611	0.36479	3.6569	3.6569	3.6569	0.6531	-0.40248	0.42222	0.69128	3.6569	0.45321	3.6569	0.070155	
Amplification Peak 25 - CN values	8q23.1  	chr8:106946415-107186105(probes 151840:151867)	chr8:106954414-107176413(probes 151841:151866)	chr8:106954414-107694108(probes 151841:151924)	0.060017	    0.17121		Actual Copy Change Given	2.2079	0.18656	1.9485	0.10769	1.401	0.06803	2.4472	1.305	3.6569	-0.40248	0.58385	0.69128	3.6569	0.45321	3.6569	0.035244	
Amplification Peak 26 - CN values	8q24.21 	chr8:127535190-127969485(probes 154108:154154)	chr8:127545069-127961002(probes 154109:154153)	chr8:122306557-129614147(probes 153531:154340)	0.00044456	  0.0072277		Actual Copy Change Given	3.6569	0.18656	0.91172	1.4841	2.916	-0.16013	1.9771	0.68578	3.6569	-0.40248	3.6569	3.6569	3.6569	0.46065	3.2167	0.035244	
Amplification Peak 27 - CN values	8q24.3  	chr8:138469103-141158409(probes 155337:155572)	chr8:139669223-139760222(probes 155469:155479)	chr8:136659467-141472043(probes 155132:155610)	0.0096722	    0.11083		Actual Copy Change Given	2.1358	0.18656	2.0086	1.969	1.1584	-0.078629	1.5298	3.3903	2.9652	-0.53527	-0.30481	3.6569	3.6569	0.39865	1.5072	0.035244	
Amplification Peak 28 - CN values	9p12    	chr9:38963735-39031233(probes 160156:160164)    	chr9:38973235-39029234(probes 160157:160163)    	chr9:38973235-39063234(probes 160157:160174)    	1.7552e-06	 0.00013322		Actual Copy Change Given	3.6569	3.6569	3.6569	1.2682	0.34095	0.32706	3.6569	1.4599	1.0184	0.047445	0.18312	-0.47945	3.6569	0.53079	3.6569	-0.95894	
Amplification Peak 29 - CN values	9p12    	chr9:39461902-39586233(probes 160191:160206)    	chr9:39469235-39585234(probes 160192:160205)    	chr9:39150235-40868233(probes 160186:160309)    	6.2459e-05	    0.12184		Actual Copy Change Given	3.6569	3.6569	2.3845	1.2682	2.6586	0.32706	1.8926	1.4599	1.0184	0.047445	0.18312	-0.47945	3.6569	0.53079	0.8442	-0.95894	
Amplification Peak 30 - CN values	9p11.2  	chr9:39856985-40863233(probes 160220:160307)    	chr9:40825235-40858234(probes 160303:160306)    	chr9:39150235-40868233(probes 160186:160309)    	5.4036e-05	   0.048697		Actual Copy Change Given	3.6569	1.2946	2.4349	1.2682	2.6586	2.001	1.8926	1.4599	1.0184	0.047445	0.18312	-0.47945	3.6569	0.53079	1.5945	-0.62765	
Amplification Peak 31 - CN values	9p11.2  	chr9:41614236-41647233(probes 160393:160401)    	chr9:41618235-41646234(probes 160394:160400)    	chr9:41445235-41697948(probes 160379:160416)    	8.9264e-09	 1.8753e-08		Actual Copy Change Given	3.6569	1.917	2.8746	1.7652	3.6569	2.5205	2.1053	3.6569	1.4167	0.047445	-1.2929	0.54593	3.6569	0.40655	3.6569	-0.62765	
Amplification Peak 32 - CN values	9q11    	chr9:43170236-43216233(probes 160571:160579)    	chr9:43179235-43215234(probes 160572:160578)    	chr9:42578235-61676165(probes 160520:162341)    	1.207e-10	 3.4718e-09		Actual Copy Change Given	3.6569	3.6569	3.6569	3.6569	3.0663	0.27758	3.6569	3.6569	3.6569	0.047445	0.31134	-0.47016	3.6569	0.40655	3.6569	-0.76451	
Amplification Peak 33 - CN values	9q13    	chr9:61368310-61599508(probes 162327:162333)    	chr9:61370309-61591308(probes 162328:162332)    	chr9:42578235-61676165(probes 160520:162341)    	5.6529e-08	 1.7772e-05		Actual Copy Change Given	3.6569	3.6569	3.6569	0.37274	3.6569	0.27758	3.6569	-0.40577	3.6569	0.047445	0.094918	-1.2929	3.6569	0.44491	3.6569	-0.35354	
Amplification Peak 34 - CN values	9q21.11 	chr9:65071559-65383308(probes 162583:162586)    	chr9:65079309-65376308(probes 162584:162585)    	chr9:64846309-65538307(probes 162571:162605)    	3.9994e-06	 1.3619e-05		Actual Copy Change Given	2.0837	3.0939	2.3804	3.6569	1.468	1.7356	1.0891	3.6569	0.33566	0.047445	-0.041909	-1.2929	3.6053	0.36725	2.7237	-0.35354	
Amplification Peak 35 - CN values	9q21.11 	chr9:66797310-66844307(probes 162738:162748)    	chr9:66798309-66843308(probes 162739:162747)    	chr9:66797309-66888808(probes 162737:162754)    	0.00079859	  0.0028927		Actual Copy Change Given	3.6569	0.056825	2.2666	3.6569	1.468	-0.19351	3.6569	-0.43397	0.33566	0.047445	-0.041909	-0.50577	3.6569	0.36725	1.6212	-0.35354	
Amplification Peak 36 - CN values	10p11.1 	chr10:38486313-38615310(probes 174005:174020)  	chr10:38488312-38614311(probes 174006:174019)  	chr10:38484312-38625193(probes 174002:174022)  	8.9039e-12	 3.0552e-11		Actual Copy Change Given	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	2.9595	1.2897	-0.090779	0.11202	3.6569	0	3.6569	0.032422	
Amplification Peak 37 - CN values	10p11.1 	chr10:38783313-38930223(probes 174041:174059)  	chr10:38784312-38920311(probes 174042:174058)  	chr10:38783312-38950046(probes 174040:174061)  	1.4508e-11	 6.7713e-10		Actual Copy Change Given	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	2.5895	1.2897	-0.090779	0.23434	3.6569	0	3.6569	0.032422	
Amplification Peak 38 - CN values	10p11.1 	chr10:39273313-39344310(probes 174098:174107)  	chr10:39274312-39341311(probes 174099:174106)  	chr10:39257312-42136180(probes 174094:174210)  	4.6691e-09	 0.00034033		Actual Copy Change Given	2.515	3.6569	3.6569	3.6569	1.086	3.6569	1.809	3.6569	0.93668	1.2897	-0.090779	0.23434	3.6569	0	3.6569	0.032422	
Amplification Peak 39 - CN values	10p11.1 	chr10:39530313-39569310(probes 174147:174155)  	chr10:39532312-39568311(probes 174148:174154)  	chr10:39257312-42136180(probes 174094:174210)  	3.9318e-10	 0.00071395		Actual Copy Change Given	3.6569	3.6569	3.6569	3.6569	1.086	3.6569	3.6569	3.6569	-0.9266	1.2897	-0.090779	0.23434	3.6569	0	3.6569	0.032422	
Amplification Peak 40 - CN values	10q11.21	chr10:41842273-41912270(probes 174177:174188)  	chr10:41843272-41911271(probes 174178:174187)  	chr10:39257312-42136180(probes 174094:174210)  	1.4257e-12	 1.4568e-10		Actual Copy Change Given	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	2.8182	-1.0613	-0.040278	3.6569	0	3.6569	0.032422	
Amplification Peak 41 - CN values	11p11.12	chr11:50578198-50683196(probes 188663:188675)  	chr11:50587198-50682197(probes 188664:188674)  	chr11:50444198-55077824(probes 188642:188778)  	5.2917e-10	 1.6163e-06		Actual Copy Change Given	3.6569	2.8504	3.5624	3.6569	2.281	3.6569	0.60736	1.8651	3.6569	0.21799	0.93521	0.12889	3.6569	0.33131	3.6569	-0.030479	
Amplification Peak 42 - CN values	11q11   	chr11:54959826-55022824(probes 188756:188764)  	chr11:54960825-55013824(probes 188757:188763)  	chr11:50444198-55077824(probes 188642:188778)  	2.2642e-11	 2.7772e-08		Actual Copy Change Given	3.6569	3.6569	3.6569	3.6569	2.8626	3.6569	3.6569	3.3609	2.9609	0.15784	0.6315	0.31419	3.6569	-0.02011	3.6569	-0.030479	
Amplification Peak 43 - CN values	11q11   	chr11:55197326-55215823(probes 188799:188802)  	chr11:55204825-55214824(probes 188800:188801)  	chr11:55124825-55368593(probes 188786:188820)  	2.521e-10	 2.7318e-06		Actual Copy Change Given	3.6569	2.5341	3.6569	3.6569	0.79026	1.9231	3.6569	3.6569	3.6569	0.15784	-0.32371	0.31419	3.6569	-0.02011	3.6569	-0.030479	
Amplification Peak 44 - CN values	11q11   	chr11:55596826-55608823(probes 188846:188849)  	chr11:55597825-55598824(probes 188847:188848)  	chr11:55596825-55720538(probes 188845:188876)  	3.0552e-11	 3.3427e-09		Actual Copy Change Given	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	0.15784	-0.32371	0.31419	3.6569	-0.02011	1.3482	-0.030479	
Amplification Peak 45 - CN values	12p11.1 	chr12:34543904-34587901(probes 200602:200610)  	chr12:34544903-34584902(probes 200603:200609)  	chr12:34420903-34615202(probes 200584:200614)  	6.7033e-10	 2.1447e-07		Actual Copy Change Given	2.0043	3.6569	3.6569	3.6569	1.5638	3.6569	3.6569	3.6569	2.8382	-0.55805	1.1989	0.13552	3.6569	-0.10497	3.6569	-0.037923	
Amplification Peak 46 - CN values	12q11   	chr12:37256029-37407001(probes 200882:200898)  	chr12:37266003-37406002(probes 200883:200897)  	chr12:34678903-37425127(probes 200623:200906)  	2.0879e-12	 1.0524e-10		Actual Copy Change Given	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	0.15524	0.30754	0.13552	3.6569	-0.10497	3.6569	3.6569	
Amplification Peak 47 - CN values	12q11   	chr12:37618004-37626001(probes 200934:200937)  	chr12:37623003-37625002(probes 200935:200936)  	chr12:37597003-38044287(probes 200930:200988)  	1.2323e-05	 0.00046301		Actual Copy Change Given	3.6569	1.1256	1.4555	3.6569	1.1652	3.6569	3.3108	3.6569	2.3177	0.15524	0.30754	0.13552	1.1544	-0.93888	1.465	0.36663	
Amplification Peak 48 - CN values	15q11.2 	chr15:23163006-23191003(probes 230065:230069)  	chr15:23164005-23189004(probes 230066:230068)  	chr15:23164005-23373803(probes 230066:230090)  	9.5473e-11	 9.5473e-11		Actual Copy Change Given	0.2806	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	0.026497	0.12718	-0.2168	3.6569	0.20678	3.6569	0.032357	
Amplification Peak 49 - CN values	15q26.3 	chr15:97305235-101991189(probes 237426:237910)	chr15:98507227-99215001(probes 237555:237626)  	chr15:97836177-101991189(probes 237484:237910)	0.049253	   0.049253		Actual Copy Change Given	3.6569	0.9557	-0.045716	0.13718	2.197	1.9921	1.0633	0.39513	0.70107	1.5323	0.27164	0.39119	0.50273	-0.22649	1.7978	0.032357	
Amplification Peak 50 - CN values	16p11.2 	chr16:34060221-34100218(probes 241314:241323)  	chr16:34061220-34099219(probes 241315:241322)  	chr16:34060220-34110108(probes 241313:241325)  	2.351e-05	  0.0024524		Actual Copy Change Given	1.3622	3.6569	3.6569	0.37733	1.0079	3.6569	1.1696	1.4236	0.81396	-0.46455	-0.30436	0.82986	3.6569	-0.36339	3.6569	0.014882	
Amplification Peak 51 - CN values	16p11.2 	chr16:34571221-34604719(probes 241345:241350)  	chr16:34572220-34596219(probes 241346:241349)  	chr16:34278220-34788819(probes 241344:241388)  	3.0552e-11	 1.2312e-10		Actual Copy Change Given	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	2.2678	3.6569	3.6569	-0.46455	-0.30436	0.82986	3.6569	-0.36339	3.6569	0.014882	
Amplification Peak 52 - CN values	16p11.1 	chr16:35988221-36043552(probes 241528:241535)  	chr16:35990220-36034219(probes 241529:241534)  	chr16:35928220-46423418(probes 241514:241771)  	5.5092e-11	 5.5092e-11		Actual Copy Change Given	3.6569	3.6569	2.9624	3.6569	3.1314	3.6569	3.6569	3.6569	2.387	-0.46455	-1.0402	-0.54444	3.6569	-0.84257	3.6569	0.014882	
Amplification Peak 53 - CN values	17p13.1 	chr17:8252693-8938704(probes 247071:247150)      	chr17:8262453-8930204(probes 247072:247149)      	chr17:8262453-8947204(probes 247072:247152)      	0.041359	   0.062197		Actual Copy Change Given	3.2529	0.44672	-0.092413	-0.72504	0.81739	3.4888	3.3934	3.6569	-0.02956	0.053365	-0.21956	0.58302	2.7105	-0.6211	-0.14285	-0.21994	
Amplification Peak 54 - CN values	17p11.2 	chr17:21883313-21886310(probes 248542:248545)  	chr17:21884312-21885311(probes 248543:248544)  	chr17:21845312-22051311(probes 248529:248638)  	3.7816e-09	 5.1271e-06		Actual Copy Change Given	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	1.2839	1.4722	1.2169	0.15149	-0.4475	3.6569	-0.57714	2.9803	-0.21994	
Amplification Peak 55 - CN values	17p11.2 	chr17:21965313-21986310(probes 248624:248628)  	chr17:21968312-21985311(probes 248625:248627)  	chr17:21845312-22051311(probes 248529:248638)  	1.2312e-10	 3.7469e-08		Actual Copy Change Given	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	1.2169	-0.24588	-0.4475	1.7488	-0.5341	3.6569	-0.21994	
Amplification Peak 56 - CN values	17q11.1 	chr17:26775916-26950514(probes 248797:248816)  	chr17:26776915-26940914(probes 248798:248815)  	chr17:26775915-26969714(probes 248796:248818)  	1.2312e-10	 1.2312e-10		Actual Copy Change Given	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	-0.65348	-0.24588	0.48689	3.6569	-0.15814	3.6569	-0.21994	
Amplification Peak 57 - CN values	17q12   	chr17:36163693-36271690(probes 249766:249774)  	chr17:36169692-36270691(probes 249767:249773)  	chr17:36163692-36417691(probes 249765:249780)  	7.7371e-13	 7.7371e-13		Actual Copy Change Given	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	-0.65348	-0.24588	3.6569	3.6569	-0.018497	3.6569	-0.21994	
Amplification Peak 58 - CN values	18p11.1 	chr18:15374768-20580188(probes 255868:256393)  	chr18:15384686-15792127(probes 255869:255910)  	chr18:15384686-20940955(probes 255869:256432)  	1.2312e-10	 1.2312e-10		Actual Copy Change Given	3.6569	3.6569	3.2737	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	0.14598	-0.14405	-0.1925	3.5169	-0.24244	3.2009	-0.017221	
Amplification Peak 59 - CN values	19p12   	chr19:20412035-20544980(probes 264278:264299)  	chr19:20413034-20535033(probes 264279:264298)  	chr19:20413034-20564874(probes 264279:264301)  	0.027947	   0.040708		Actual Copy Change Given	0.99748	1.499	1.7544	-0.3505	0.56709	2.3356	2.28	2.6891	1.1397	0.52486	-0.25125	-1.2929	0.14522	-0.34745	1.7197	-0.077049	
Amplification Peak 60 - CN values	19q11   	chr19:27549825-27567623(probes 265004:265007)  	chr19:27558625-27566624(probes 265005:265006)  	chr19:24329554-27777623(probes 264692:265038)  	9.3661e-13	 1.0412e-12		Actual Copy Change Given	3.6569	3.6569	3.6569	2.2865	3.6569	3.6569	3.6569	3.6569	2.7582	3.6569	1.8637	0.63509	3.6569	-0.18301	3.6569	-0.077049	
Amplification Peak 61 - CN values	20p11.1 	chr20:26325066-26601704(probes 270974:271003)  	chr20:26327065-26596705(probes 270975:271002)  	chr20:26291065-26603704(probes 270961:271005)  	4.9905e-10	 5.9536e-09		Actual Copy Change Given	3.6569	3.6569	3.6569	3.6569	2.4674	2.8688	3.6569	2.8254	3.6569	0.22709	0.17823	-0.67635	3.6569	1.1341	3.6569	0.023171	
Amplification Peak 62 - CN values	20q11.1 	chr20:28825626-28869224(probes 271034:271039)  	chr20:28834625-28859624(probes 271035:271038)  	chr20:28748625-29079623(probes 271022:271059)  	3.2457e-06	 0.00016913		Actual Copy Change Given	3.6569	3.6569	1.13	1.152	1.5813	3.6569	1.7138	3.6569	1.7288	0.22709	0.17823	0.25751	3.6569	0.61532	3.6569	0.023171	
Amplification Peak 63 - CN values	20q11.1 	chr20:29888420-30138097(probes 271222:271233)  	chr20:29893419-30137098(probes 271223:271232)  	chr20:29888419-30141097(probes 271221:271235)  	0.00343	   0.022712		Actual Copy Change Given	2.6038	3.6569	0.090487	2.8302	0.9722	-1.2929	0.33165	3.6569	0.20382	0.22709	0.17823	0.043638	3.6569	0.61532	3.6569	0.023171	
Amplification Peak 64 - CN values	20q11.21	chr20:31047099-31177097(probes 271365:271379)  	chr20:31057099-31171098(probes 271366:271378)  	chr20:30996099-31254772(probes 271357:271395)  	1.2312e-10	 1.5977e-10		Actual Copy Change Given	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	0.144	0.17823	0.043638	3.6569	0.61532	3.6569	0.023171	
Amplification Peak 65 - CN values	21p12   	chr21:5245501-6376950(probes 274903:274914)      	chr21:5255001-6367000(probes 274904:274913)      	chr21:5255001-6396850(probes 274904:274916)      	3.4135e-12	 3.4135e-12		Actual Copy Change Given	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	0.4192	-0.6007	0.50001	3.6569	-0.013796	3.6569	-0.73493	
Amplification Peak 66 - CN values	21p11.2 	chr21:7324002-7959999(probes 274953:274965)      	chr21:7325001-7958000(probes 274954:274964)      	chr21:7324001-7976999(probes 274952:274973)      	1.4389e-10	 1.4389e-10		Actual Copy Change Given	3.6569	3.6569	3.6569	1.4425	3.6569	3.6569	3.6569	3.6569	1.3055	-0.71447	-0.6007	0.50001	3.6569	-0.013796	2.573	-0.73493	
Amplification Peak 67 - CN values	21p11.2 	chr21:9007501-9042999(probes 275077:275083)      	chr21:9017001-9042000(probes 275078:275082)      	chr21:9017001-9322400(probes 275078:275098)      	0.016415	   0.032065		Actual Copy Change Given	1.0655	0.071215	1.747	-0.18503	1.4754	3.6569	0.15528	-0.48456	3.5157	-1.2929	-0.6007	0.50001	3.6569	-0.013796	0.48391	-0.14308	
Amplification Peak 68 - CN values	21p11.2 	chr21:9788751-9830500(probes 275139:275143)      	chr21:9798001-9823000(probes 275140:275142)      	chr21:9367001-9866500(probes 275106:275148)      	0.001795	  0.0032644		Actual Copy Change Given	2.1518	0.6647	1.747	0.99347	0.95173	3.6569	2.4316	1.5394	0.53198	0.61698	-0.88209	1.7237	2.8402	-0.013796	0.20643	-0.14308	
